intents,patterns
"@skepticamp Oh, don't worry. There Will Be Tweeting.  #skepticamp #scoh09",4
"@kashaziz As long as the cooks know how to make Nihari, Chicken Tikka Masala, etc ",4
has just joined twitter ,4
@eddieizzard And the weather is also lovely in Leicester Eddie ,4
http://twitpic.com/4ead2 - New haircut!!! yay! ,4
he LOVES me sooo much yall ,4
I'm so boring right now hikz... so i didn't do anything.... is there anyone who message me? Thx ,4
@lawrencecurtis Happy birthday! ,4
"Had a morning walk in the park, found a cache.  I have so much work to do this weekend...dear god.",4
watching the bill ,4
hello twitter ,4
@missannab all good. I was parked behind her waiting in the car ,4
@SelenlovesMcfly Morning Sunshine!  What about your ex best friend??  We're going to land soon. My uncle is turning 60. SO much fun xD,4
Leaving for Disney with Courtney ,4
@jimmywim LOL that would be a first!  May leave some tissues out for people ,4
@Surrender1224 then save up for one.. ,4
"Eek, too many tweets to catch up. Hope I didn't miss much. But: Alton Towers tomorrow ",4
going through go glasgow today to see granny  hopefully some shopping will be at hand too.,4
"@sammoran You did a fantastic job today. We really enjoyed it, but we could still see that you are sick. Get better soon. ",4
"has dirt under her nails and loads of little seeds resting comfortably in the vegetable garden  Carrots, lettuce, onions &amp; the like ",4
"Ahhhh weekend.  Which means lots of yummy cups of tea, amazing books, great company. Yay! Bring it on. Love my life.",4
@skybluedesigns2 Good morning  I am sooo drooling over your shop this morning. Love your work!,4
"The Halifax Pier is making light shine upon me. Soon I am, going to play some drums. great phun! ",4
Afternoon jog in the sunshine.  Cleaning out my closet and then watching the boxing this evening..  Enjoy the beautiful weather!  Mwah! X,4
"I feel more than a little bit sick, but we're going to pizza hut soon for Jonny's birthday so I'm sure that will make me feel much better ",4
@MartaLamovsek Thanx! ) And next weekend : vcast from Paris ;) Can't wait! ,4
"@r27 oh ok,  saw some mssgs fr u abt the reds... goes to show I don't follow football ",4
@ajinkyaforyou hav 399 followers ! complete 1 more n i will follow u n claim my 4th centuruyyy ,4
@SoundNugget hey you chick thanks for asking but i have my own hihiiiii i�ve started the backofen right now ,4
Locky just got his vapor rub ,4
@BaconBellyBoy Especially sunny ones ,4
omgomgomgomgomgomgomgomggggggg I can't wait for Monday ,4
"@woganmay twitter == substr(blogging,0,140) ? ",4
is a newbie in using twitter! ,4
"Hey girls! Just checking on phone! Gotta run, gotta lot 2 do 2day! ",4
@MrDashiff you will. We all will ,4
chocolate high. ,4
@mmitchelldaviss http://twitpic.com/4e618 - alex pardee? and don't you have something like that on t-shirt? very nice ,4
@MarianDougan thanks for the link to blog; will link back when WP blog properly started ,4
"Hello all, It another beautiful spring day here  ",4
Looking forward to my trip to New Hampshire today! Promulgation.Rubicon (PR) write-ups to resume when I return next week! ,4
"@ladybug27 OK No worries. - Yes, sum things cn b rlly funny. &amp;, no matter the English, we're not always &quot;saying&quot; the same things. I know. ",4
@Amargosa I'll volunteer to test it ,4
takin' breath!! ,4
"Oh my god, i was awake until fifteen past 7. And slept for 3 hours. LAN is so much fun ",4
@gemlani lol hey girl... I gotta change the pic today ,4
@mikeyway www.fmylife.com shouldn't be funny but some of it well...just sayin ,4
Managed to get green day tickets yester ,4
@ScottATaylor @Robert_Axelsen @Sn0wrose @Julia_Kline @Vincent_Tan Belated #FollowFriday Gratitude 2 all of U. Thanks 4 the #FollowFriday ,4
"OMG, went to bed at 8pm last night! Up for work now. And I feel somewhat better. The room isn't spinning anymore. ",4
off to rockwell with @kpauline to watch xmen ,4
@BenTempleman 12 hours sleep win ,4
@JustTooBusy  http://tweepsearch.com/ seems to work hope it helps ,4
"@_OHMYJONAS ahaa. seriously, you should watch spy kids! it's awesome ",4
@Macherieamour hey cherie!.. what's your next project?.. loved u in pieta.. ,4
First offical client iPhone app submitted and waiting for review  Will post link when live!. Hopefully cricket... http://ff.im/-2wn7w,4
"@galaxydazzle Hello Irish  haha, you enjoy yourselves? It was soosooo good! so worth the hours and hours camping!   see you @ croydon",4
@cameronreilly Huh? Sorry - Still playing my violin - WITH the mute! ,4
just woke up gunna watch youtube stuff ,4
got to go peopleess im watching spy kids EPIC MOVIE ,4
!linuxoutlaws server back up. Thanks @linode for the extra storage! ,4
@Toin_Lina yes....i think you are from germany...and you like McFly ,4
@Bucks_lad Good luck ,4
"@ginj Haha, well he does do that normally but he's at work this weekend so wont get much of a chance =/ Hope you're okay? ",4
"Track meet today, wish me luck ",4
@CesLSU thanks for the ff props. ,4
"Hi lovely angel @Anayah777, did u get the direct messages I sent to you yesterday? ",4
Ok. Time 4 some shut eye. Morning Twietnam! Have a wonderful Saturday ppl ,4
@fddlgrl of course you are ,4
Up and getting ready for Tony's Graduation Day.  I hope his pain in the ass behavior ends with his graduation.   love ya honey!,4
"@vincenthunt fantastic time to be alive, all knowledge at your fingertips, but real learning is always hard. School is so last century ",4
@BritRoshambo you fail at tweets too ,4
@nuttychris dont think so.might go as spoon.lol ,4
@mycharliegirl ,4
@Emmmaa___ awwwww thats so sweet  haha they are the nicest guys alive! xx,4
"thinks the new alestorm album is better than the first, and will buy it asap! ",4
"@iiacovou No lemsip? where u at again?.Drink plenty of water,have plenty of rest, &amp; that means turn the bloody tweets off young man! ",4
"Starting my day at 1pm? Well, haven't done this in a while... ",4
"Planke MC, Jack Daniels and my favourite girl ;) What more can I ask for?? ",4
I love group discussions ,4
@writereader Oh ok   Good!,4
@jimmywim you've done this before ,4
haha long johns.yuk. im boreeddd and dont know what to do for the next two days of no school.... yay no school ,4
"@sanjayguptaCNN Dr., How would YOU respond to the question and why? Please advise ",4
"Dad's wedding day. Will be hectic, but fun. Will update about it when I return home. Have a good day ",4
@leightonmarissa thanks for sharing a bit of your personal life with your fans. Keeping your life private is so important. God Bless You. ,4
@xo_mcflyandjb ohkay  and haha did you just tweet yourself?,4
"if you're going to boozle today &amp; would like to meet up, TEXT ME (757.620.3510) or if you see me, don't be afraid to be like, &quot;YO SARAH!&quot; ",4
Watching the new Fairly Odd Parents Wishology trilogy with my kiddos!! ,4
@akiville pls do. can i get one from a store here or order online? i'd want one today ,4
@Naina All the best for your new venture! ,4
@miss_lautner Aww thank you. you too. you're awesome! hehe. I'll letcha know bout Jonas later if its good or bad. Have a good day! ,4
@Dorsy hey girl whats up? its boring here but its sunny and warm.... ,4
@tweenkiebelle ma kitty's back to me ,4
"Lunch time, woo! Going to mcdonalds to collect my free cheeseburger ",4
@LiDLo i'll be your dutch best friend!!! ,4
@DivasMistress definitely not!  don't make me get ignant in this mofka! ,4
I made a fanmix in the course of the overnight. I've never made one this fast. It just fell into place. Lovely. ,4
@littleangel93 I think i'm falling in love with you!!  xxx #iloveyou,4
"Saturday lunch time, grandson visit then shopping for a sand pit, i might let max play in it with me ",4
"It's 7:00am on a Saturday, and I'm awake. I've been up since 5:43am. WHAT IS WRONG WITH ME?  Off to get breakfast... my tummy's grumbling ",4
All my neighbors and I are listening Sounds of the Universe. I hope that they like it... ,4
Death Knights are so OP...thats why there so fun ,4
Having a picnic with my lovely..  wish it could last longer,4
@selmarieg Hey sel ,4
@MarvinW You're welcome ,4
off down the beach after a yummy chips &amp; eggs for breakfast ,4
"detention blahhh -__-, then back home and sleeping ",4
is having fun with her HS friends.. ,4
@CommonCentsMom Hey! Where are you located? I agree wholehearted  How are you?,4
So you dont feel so weak! About being such a freak! - proud freak table member ,4
"@Rachie_Mai Same.  a girl asked nate if they'd be back soon and i think he said 'fuck yeah.' xD Nathan told me he loved me, &amp; i went DD",4
"@DanielNadasi Make sure to check your email! And respond to it, otherwise I won't know what I'm doing!!!!! Glad you're not soaking ",4
"Jaunty Jackalope 100% Dell Inspiron 1501 compatible, even 3D is working out of the box! ",4
@ddkurcfeld @TheOddSparrow @workfortweets @LorenaHeletea @resofactor Just want 2 say thanks 4 the #FollowFriday. Really appreciate tat ,4
@frizfrizzle omg  I sort of miss Piston sometimes. Then I stop that immediately.,4
"@Tomosbeard Yes, you are! Would you give me your autograph? ",4
back from the run and still walking  shins might be ok  just taking books to the sun and going to equity up my badself,4
"@essiewb Of course, Essie, the swine flu masks were meant to be funny, or a joke, not a real medical life saving device. ",4
@TrianaIglesias It wasn't me!  Hope you having the time of your life. Hugs from me to ya. Love Kj,4
Feel like im going to pass out? not very good. Might go take a shower and rest for a bit... ,4
"Hey @jonasbrothers *Do you know how many seasons of J.O.N.A.S you are going to do?? Love Melissa, from the UK  xxx* #jonaslive",4
@NileyLover09 http://twitpic.com/42jj2 - joe such a sweetheart and always hot... ,4
is discussing bllywood ,4
"rt @GaryPHayes Terrifying lightning strikes around Bondi: windows nearly blew, we are hiding under table  with laptops )",4
@Laura_lou27 ahh tell your bf 3 cheers from aust!! WELL DONE ,4
is Mr. Manhattan ,4
I think that school sucks... Until we get a 3 day weekend! Woop woop! ,4
"@valenbfm choir competitions are fail, but the bus rides are fun ",4
Enjoyed a lovely afternoon with friends at their new house in the Dandenongs ,4
see me driving in my little black yarris very soon ,4
@Carmella_Bing you are the most beautiful and sexiest woman on the planet. ,4
"Twitter, Casualty on sky+ and cute cuddley dog = Relaxinggg ",4
"@JDNX Lol,I believe that ",4
@FakerParis hahaha i'm never emo. i leave that to @MissxMarisa ,4
what a glorious day it is waking up to the boys voices and hearing Rob and Christian carrying on a conversations ,4
